Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft
"09464";"Hof, Stadt";"Kreise";"12,88";"11,99";"11,28";"12,05";"13,63";"14,55";"14,08";"15,03";"13,22";"10,99";"9,09";"7,83";"7,28";"6,89";"6,78";"6,90";"6,86";"6,74";"7,03";"7,06";"5,80";"5,64";"6,69";"6,08";"5,52";"5,94";"48,69";"51,52";"50,91";"50,13";"50,41";"50,94";"53,13";"58,28";"56,43";"55,56";"61,06";"63,75";"66,72";"67,37";"2,76";"3,14";"3,97";"3,31";"3,12";"3,88";"4,29";"3,49";"3,37";"3,88";"4,08";"4,21";"3,37";"2,87";"4,02";"3,53";"3,19";"3,69";"3,62";"3,50";"3,01";"2,35";"2,30";"2,97";"3,40";"3,26";"3,30";"3,28";"14,75";"15,50";"11,55";"12,59";"13,48";"10,06";"48,77";"48,25";"49,89";"48,76";"47,07";"47,68";"47,51";"51,96";"57,01";"54,92";"54,41";"56,06";"55,80";"53,15";"52,87";"42,16";"40,22";"41,41";"42,49";"42,47";"41,04";"38,40";"34,80";"37,38";"36,81";"30,72";"28,11";"25,94";"25,72"
"09471";"Bamberg";"Kreise";"6,84";"6,28";"5,71";"5,56";"6,39";"6,90";"6,87";"7,22";"6,64";"5,17";"3,58";"3,96";"3,56";"2,93";"3,01";"2,90";"2,95";"2,68";"2,50";"2,31";"2,07";"2,06";"2,65";"2,63";"2,34";"2,53";"32,70";"33,26";"34,96";"35,05";"35,40";"34,88";"35,56";"33,75";"32,80";"33,06";"39,86";"42,51";"44,44";"45,66";"4,19";"4,69";"5,17";"5,70";"6,28";"7,02";"6,78";"6,88";"7,39";"7,39";"6,69";"6,84";"5,85";"6,73";"4,94";"4,85";"5,65";"6,02";"6,05";"7,41";"7,24";"6,78";"6,20";"6,97";"8,05";"8,90";"9,61";"8,73";"4,74";"4,55";"3,27";"2,12";"4,41";"2,65";"33,94";"32,39";"32,01";"30,51";"30,51";"30,59";"31,50";"33,63";"34,49";"35,08";"34,02";"34,10";"33,66";"34,73";"36,08";"54,13";"53,74";"52,94";"51,67";"49,36";"47,10";"45,30";"46,71";"47,27";"47,96";"41,76";"39,35";"34,64";"32,83"
"09472";"Bayreuth";"Kreise";"7,69";"7,12";"6,36";"6,54";"7,46";"8,01";"8,16";"8,32";"7,64";"5,84";"4,48";"4,71";"4,52";"3,81";"3,51";"3,70";"3,67";"3,41";"3,31";"3,05";"2,80";"2,63";"3,24";"2,90";"2,90";"3,15";"30,29";"33,38";"32,98";"30,90";"28,69";"29,66";"29,77";"29,54";"31,20";"29,70";"43,19";"48,97";"47,56";"50,63";"4,09";"4,13";"5,08";"4,87";"5,22";"5,31";"5,45";"5,63";"5,78";"6,51";"6,71";"6,56";"5,67";"5,22";"6,08";"6,03";"6,20";"6,34";"7,20";"6,89";"6,92";"6,68";"6,56";"6,43";"7,33";"7,36";"6,93";"6,59";"5,00";"6,44";"4,35";"3,96";"4,30";"3,19";"34,20";"32,75";"32,14";"31,66";"32,00";"30,38";"30,15";"32,77";"33,02";"33,43";"32,18";"32,79";"35,27";"36,91";"38,34";"56,48";"54,65";"55,20";"57,30";"58,11";"57,35";"55,62";"56,10";"54,42";"55,53";"41,44";"35,56";"30,95";"32,17"
"09473";"Coburg";"Kreise";"8,21";"7,69";"6,74";"6,71";"8,30";"10,06";"10,47";"10,72";"9,49";"6,84";"5,04";"6,00";"5,30";"4,09";"4,08";"4,10";"4,09";"3,83";"3,47";"3,10";"3,05";"3,06";"3,72";"3,58";"3,36";"3,72";"38,47";"40,33";"41,26";"42,91";"42,99";"43,01";"42,14";"42,30";"42,15";"40,81";"49,09";"49,33";"49,19";"51,11";"3,17";"3,83";"3,42";"3,95";"4,13";"3,96";"4,70";"4,59";"4,91";"4,65";"5,13";"5,69";"5,33";"5,63";"5,45";"5,64";"5,13";"4,90";"5,47";"5,33";"5,10";"5,17";"5,55";"5,82";"5,66";"6,91";"6,34";"6,55";"10,74";"9,65";"9,43";"8,66";"8,71";"8,43";"36,36";"34,91";"35,44";"35,03";"36,41";"35,93";"36,31";"38,20";"40,10";"41,13";"38,74";"38,03";"38,46";"41,23";"40,82";"49,84";"49,44";"49,95";"48,00";"47,17";"47,07";"46,96";"46,90";"45,58";"47,33";"38,73";"36,79";"33,21";"32,27"
"09474";"Forchheim";"Kreise";"7,50";"6,76";"6,08";"5,71";"6,19";"6,41";"6,52";"6,97";"6,28";"5,25";"3,63";"4,17";"3,77";"3,09";"3,04";"3,20";"3,00";"2,93";"2,93";"2,71";"2,49";"2,40";"2,95";"2,95";"2,70";"2,97";"31,59";"35,26";"38,41";"34,64";"34,32";"34,87";"35,48";"36,86";"39,37";"39,59";"43,72";"47,61";"49,23";"50,70";"4,88";"5,13";"5,65";"6,23";"7,74";"8,83";"7,74";"7,02";"6,82";"6,94";"8,41";"9,19";"8,71";"7,85";"6,35";"6,57";"7,36";"7,63";"8,15";"8,68";"7,12";"6,90";"6,77";"7,24";"8,01";"7,84";"8,05";"8,00";"5,68";"5,64";"4,93";"2,66";"3,99";"5,02";"37,04";"35,43";"35,59";"36,65";"33,38";"32,53";"32,51";"35,64";"36,36";"37,06";"36,53";"34,65";"35,26";"38,20";"40,95";"50,22";"46,30";"44,95";"47,20";"44,21";"42,45";"44,52";"44,54";"43,25";"42,89";"36,86";"33,85";"29,88";"29,60"
"09475";"Hof";"Kreise";"9,00";"8,42";"7,88";"8,21";"9,32";"10,47";"9,78";"10,33";"9,15";"7,34";"5,80";"6,06";"5,41";"4,58";"4,24";"4,50";"4,11";"3,70";"3,46";"3,09";"2,85";"2,88";"3,66";"3,43";"3,29";"3,60";"37,81";"41,75";"44,33";"42,99";"41,18";"40,38";"39,77";"39,63";"40,13";"40,18";"44,75";"48,39";"50,12";"51,48";"3,00";"3,20";"3,46";"3,53";"4,24";"4,65";"4,53";"4,23";"5,17";"5,53";"5,57";"5,50";"5,60";"5,36";"5,46";"5,14";"5,79";"5,78";"5,64";"5,77";"5,85";"6,53";"5,65";"5,60";"6,43";"6,42";"6,02";"5,63";"6,27";"11,22";"10,62";"8,55";"9,76";"10,97";"33,64";"32,54";"33,03";"32,60";"31,04";"31,58";"32,75";"35,07";"37,45";"38,16";"38,77";"39,12";"40,77";"45,18";"48,69";"47,36";"45,65";"45,07";"46,30";"47,83";"46,90";"46,65";"46,03";"46,06";"45,69";"40,78";"37,21";"33,67";"31,95"
"09476";"Kronach";"Kreise";"8,57";"8,37";"7,31";"7,24";"8,25";"9,19";"9,38";"10,09";"8,73";"6,48";"4,49";"5,86";"5,07";"4,15";"4,03";"4,40";"4,42";"3,96";"3,54";"3,08";"2,77";"3,19";"3,80";"3,43";"3,02";"3,46";"41,10";"46,55";"45,09";"42,72";"41,05";"40,17";"39,69";"38,59";"39,41";"36,74";"40,80";"42,61";"45,55";"47,32";"2,73";"3,67";"3,46";"4,07";"3,92";"4,31";"3,83";"3,73";"3,79";"4,92";"4,56";"3,79";"4,10";"3,82";"5,36";"4,54";"3,98";"4,77";"4,97";"5,29";"5,67";"4,58";"4,86";"6,13";"6,20";"6,67";"5,06";"5,50";"9,65";"6,92";"2,59";"2,24";"3,79";"4,51";"46,23";"43,21";"43,90";"42,53";"40,42";"40,23";"39,26";"40,80";"38,93";"41,98";"40,79";"40,26";"40,33";"42,76";"43,58";"47,16";"44,25";"47,15";"48,14";"49,71";"49,71";"49,93";"51,91";"51,25";"51,31";"47,34";"45,79";"43,63";"42,05"
"09477";"Kulmbach";"Kreise";"9,08";"8,72";"8,02";"8,35";"9,25";"9,95";"10,72";"11,91";"10,25";"8,10";"6,05";"6,06";"5,70";"4,96";"4,60";"4,90";"4,87";"4,49";"4,08";"3,81";"3,44";"3,32";"3,81";"3,48";"3,28";"3,58";"35,28";"38,19";"44,23";"43,03";"42,84";"43,72";"43,19";"42,61";"42,78";"41,81";"51,90";"53,31";"56,32";"58,82";"3,32";"3,22";"3,30";"4,38";"4,05";"4,87";"4,06";"4,61";"4,67";"5,20";"6,08";"6,26";"6,32";"5,85";"4,57";"4,06";"4,36";"4,38";"5,06";"4,87";"4,48";"5,05";"4,24";"5,24";"5,89";"6,47";"6,61";"6,19";"10,22";"12,18";"9,66";"6,90";"6,08";"5,14";"38,44";"36,27";"37,97";"39,28";"36,67";"36,39";"37,01";"40,56";"45,11";"46,74";"45,83";"43,73";"42,80";"43,61";"45,68";"48,85";"48,45";"47,37";"47,61";"47,55";"44,91";"44,86";"44,08";"44,72";"45,29";"35,00";"33,05";"29,64";"27,98"
"09478";"Lichtenfels";"Kreise";"7,44";"7,13";"6,04";"6,49";"8,13";"9,14";"9,64";"10,62";"9,64";"7,74";"5,30";"5,56";"5,15";"4,36";"4,26";"4,40";"4,60";"4,38";"3,87";"3,48";"3,30";"3,37";"4,12";"3,62";"3,38";"3,77";"47,40";"50,88";"50,96";"47,56";"45,43";"46,72";"46,24";"43,96";"42,21";"42,03";"53,94";"55,39";"57,32";"57,13";"3,32";"3,53";"3,35";"4,00";"3,83";"3,25";"3,62";"4,17";"4,00";"3,94";"4,90";"4,58";"3,58";"4,23";"4,40";"4,33";"3,91";"4,35";"5,47";"5,38";"4,83";"4,02";"4,26";"4,62";"5,90";"6,77";"6,78";"6,96";"9,90";"10,43";"7,78";"6,63";"6,50";"6,99";"44,47";"42,45";"43,06";"43,64";"40,09";"37,66";"39,86";"41,74";"40,46";"41,80";"42,49";"39,79";"40,31";"43,67";"47,44";"40,98";"38,81";"39,79";"42,03";"43,01";"42,93";"43,76";"46,50";"48,42";"48,30";"34,51";"32,49";"28,12";"27,99"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"10,60";"10,38";"9,50";"9,96";"11,37";"12,20";"11,52";"12,00";"10,50";"8,65";"6,75";"7,66";"6,89";"5,81";"5,29";"5,20";"5,43";"5,17";"5,01";"4,55";"4,21";"4,28";"5,18";"4,53";"4,20";"4,70";"42,94";"47,65";"50,79";"49,03";"49,23";"50,76";"50,44";"50,75";"51,57";"50,50";"54,96";"58,83";"60,09";"62,24";"2,11";"2,09";"2,56";"2,79";"2,74";"2,68";"2,61";"2,59";"2,91";"3,32";"2,91";"3,90";"3,67";"3,56";"3,86";"3,99";"3,94";"4,28";"3,99";"4,04";"3,50";"3,91";"4,26";"3,95";"4,71";"4,53";"4,36";"4,34";"11,30";"10,91";"8,41";"8,75";"11,41";"10,38";"45,21";"42,70";"44,03";"44,68";"42,91";"43,21";"44,14";"47,78";"49,43";"50,30";"50,99";"51,45";"50,97";"51,99";"55,45";"45,31";"43,61";"42,12";"43,26";"43,26";"41,87";"41,09";"40,57";"39,88";"41,13";"36,41";"31,54";"29,51";"26,70"
"09561";"Ansbach, Stadt";"Kreise";"7,69";"7,08";"6,35";"5,92";"6,91";"7,60";"8,33";"9,14";"7,81";"6,62";"5,51";"6,88";"5,45";"4,13";"4,10";"4,90";"5,10";"4,67";"4,88";"4,21";"3,68";"3,63";"4,56";"3,96";"3,88";"4,61";"47,50";"50,47";"55,39";"57,02";"59,42";"59,05";"59,27";"59,65";"58,57";"57,83";"58,59";"61,01";"62,26";"62,15";"3,39";"3,66";"3,78";"3,72";"4,14";"4,29";"3,85";"4,31";"4,71";"4,95";"4,32";"4,32";"5,42";"5,19";"3,56";"3,55";"4,23";"3,81";"3,52";"3,71";"3,31";"3,70";"3,84";"3,79";"3,67";"4,85";"4,23";"4,91";"7,54";"12,04";"9,42";"9,79";"9,74";"9,77";"49,31";"47,04";"47,25";"51,84";"51,81";"52,02";"52,29";"57,21";"55,44";"56,04";"53,69";"54,55";"53,95";"56,18";"55,23";"35,80";"34,61";"33,04";"32,28";"30,72";"31,05";"31,15";"30,80";"31,72";"32,36";"32,32";"28,66";"25,38";"24,11"
"09562";"Erlangen";"Kreise";"8,56";"7,78";"6,48";"5,97";"6,44";"7,05";"7,20";"7,88";"6,95";"5,30";"3,93";"4,37";"4,20";"3,71";"3,87";"4,10";"4,13";"3,93";"3,86";"3,89";"3,68";"3,52";"4,07";"4,09";"3,64";"4,10";"21,79";"30,37";"34,83";"32,73";"33,78";"35,17";"31,53";"29,07";"30,34";"31,14";"32,78";"36,10";"35,98";"33,67";"10,96";"11,16";"11,80";"14,68";"14,35";"14,69";"15,25";"16,36";"15,89";"14,75";"14,12";"13,84";"13,22";"14,11";"6,44";"5,88";"6,38";"6,15";"6,04";"5,97";"6,23";"7,05";"6,71";"6,67";"6,99";"7,18";"7,45";"8,45";"14,56";"17,41";"13,69";"9,90";"14,34";"13,84";"30,66";"31,68";"36,02";"38,72";"39,73";"45,03";"47,64";"51,31";"52,77";"54,21";"52,86";"50,15";"52,15";"56,23";"59,27";"38,50";"36,99";"36,71";"35,91";"37,08";"35,42";"36,65";"38,05";"37,58";"36,46";"36,22";"34,08";"33,39";"33,02"
"09563";"Fürth, Stadt";"Kreise";"11,51";"10,36";"8,38";"7,94";"9,32";"10,37";"10,40";"12,03";"11,16";"9,31";"7,27";"7,95";"7,49";"6,62";"6,56";"6,90";"6,74";"6,56";"5,98";"5,33";"4,86";"4,84";"5,73";"5,57";"4,90";"5,05";"39,92";"42,42";"45,29";"46,23";"46,75";"48,28";"48,57";"47,39";"46,80";"44,60";"43,50";"44,44";"42,20";"41,35";"4,47";"4,44";"4,50";"5,14";"5,61";"5,54";"5,51";"5,48";"5,67";"5,77";"5,81";"5,55";"4,85";"5,62";"5,94";"4,93";"4,85";"5,22";"5,14";"4,99";"5,21";"5,14";"4,90";"4,65";"5,42";"5,55";"4,96";"5,54";"6,87";"10,85";"6,96";"7,30";"10,00";"9,63";"54,48";"52,83";"54,26";"53,94";"52,49";"51,65";"53,56";"55,98";"55,57";"55,76";"55,93";"54,59";"55,35";"58,95";"57,07";"40,83";"38,99";"41,21";"40,77";"40,05";"38,65";"36,65";"37,03";"35,17";"34,61";"32,75";"30,28";"27,17";"25,65"
"09564";"Nürnberg";"Kreise";"11,79";"10,93";"9,51";"9,13";"10,26";"11,58";"12,04";"13,11";"11,48";"9,72";"8,04";"8,67";"8,53";"7,89";"7,71";"7,80";"7,60";"7,18";"6,64";"5,96";"5,42";"5,21";"6,31";"6,07";"5,45";"5,92";"40,44";"45,23";"48,60";"47,72";"48,66";"49,98";"50,96";"50,84";"50,65";"50,95";"52,00";"55,46";"55,77";"53,63";"5,57";"5,27";"5,48";"5,78";"5,83";"5,81";"5,79";"6,14";"6,58";"6,79";"7,45";"7,08";"6,49";"7,20";"5,13";"5,00";"4,78";"4,99";"4,91";"4,62";"4,48";"4,77";"5,00";"5,04";"5,59";"5,30";"5,11";"5,97";"9,90";"12,90";"8,79";"7,46";"8,40";"10,15";"59,60";"57,63";"58,30";"58,28";"55,99";"55,41";"55,69";"57,17";"56,38";"55,69";"54,77";"53,33";"55,12";"56,51";"54,08";"39,34";"37,81";"38,38";"38,65";"37,70";"36,11";"35,48";"35,89";"35,57";"35,24";"32,69";"29,72";"28,43";"29,14"
"09565";"Schwabach";"Kreise";"6,56";"5,76";"4,57";"4,37";"5,66";"7,26";"7,76";"8,28";"7,72";"6,49";"4,87";"5,26";"5,26";"4,65";"4,39";"4,60";"4,23";"4,08";"3,66";"3,44";"3,25";"3,19";"4,05";"3,81";"3,35";"3,51";"37,23";"42,96";"45,56";"44,17";"43,27";"45,89";"48,38";"48,02";"48,11";"48,02";"50,16";"52,87";"52,05";"51,04";"6,01";"5,20";"4,93";"5,57";"6,07";"5,19";"5,22";"5,54";"5,53";"7,03";"7,40";"7,20";"6,41";"7,22";"6,47";"6,24";"6,46";"5,78";"5,74";"4,85";"5,35";"5,41";"4,61";"4,85";"5,14";"6,19";"5,13";"4,90";"5,74";"8,51";"3,61";"5,73";"5,16";"6,29";"42,98";"43,04";"44,08";"45,67";"45,41";"44,70";"48,70";"51,87";"53,17";"52,86";"53,14";"49,62";"49,16";"52,05";"52,02";"45,92";"43,59";"42,06";"43,24";"43,49";"42,16";"39,05";"38,92";"40,45";"38,83";"36,23";"32,17";"31,28";"31,82"
"09571";"Ansbach";"Kreise";"6,15";"5,72";"4,98";"4,91";"5,59";"6,27";"6,51";"7,20";"6,24";"4,72";"3,41";"3,92";"3,39";"2,90";"2,81";"3,00";"3,24";"3,07";"3,00";"2,72";"2,33";"2,24";"2,77";"2,55";"2,45";"2,53";"41,34";"44,90";"40,71";"40,58";"40,25";"40,34";"39,65";"39,40";"38,96";"38,35";"41,05";"42,70";"38,71";"41,88";"3,94";"3,75";"3,54";"3,88";"4,24";"4,79";"4,77";"4,53";"4,83";"5,33";"5,46";"5,61";"5,80";"5,60";"5,56";"5,87";"5,11";"5,37";"5,42";"5,74";"5,54";"5,55";"6,07";"6,30";"7,34";"7,54";"7,05";"6,40";"4,49";"4,86";"5,12";"4,76";"4,20";"4,15";"39,81";"39,57";"39,69";"32,74";"37,25";"43,70";"39,90";"45,86";"46,38";"46,01";"44,50";"44,07";"43,28";"48,18";"48,38";"45,07";"43,27";"40,60";"40,10";"39,61";"38,25";"37,42";"38,31";"38,63";"39,06";"35,92";"34,28";"31,40";"32,06"
"09572";"Erlangen-Höchstadt";"Kreise";"6,28";"5,93";"5,07";"4,57";"4,90";"5,36";"5,44";"5,36";"4,49";"3,26";"2,30";"2,94";"2,88";"2,32";"2,27";"2,40";"2,31";"2,32";"2,31";"2,03";"1,92";"1,84";"2,49";"2,47";"2,41";"2,64";"26,82";"29,64";"31,41";"30,22";"31,86";"34,20";"35,73";"34,00";"36,01";"37,28";"39,49";"39,29";"42,31";"41,73";"9,52";"9,78";"9,98";"10,90";"11,92";"12,36";"11,83";"13,90";"14,21";"12,89";"12,87";"13,22";"11,98";"11,99";"10,53";"10,32";"9,31";"9,04";"8,60";"7,82";"8,21";"9,11";"9,15";"9,70";"9,23";"10,07";"9,76";"10,79";"9,43";"29,08";"17,39";"12,48";"12,81";"9,29";"33,06";"30,24";"31,86";"31,77";"32,36";"32,56";"33,62";"37,97";"36,13";"36,69";"37,51";"37,69";"38,26";"44,38";"45,13";"48,27";"46,14";"47,78";"47,53";"44,94";"42,64";"41,18";"40,40";"38,89";"38,96";"36,21";"35,88";"31,55";"30,79"
"09573";"Fürth";"Kreise";"7,22";"6,53";"5,36";"4,92";"5,63";"6,30";"6,36";"6,74";"6,43";"5,24";"3,61";"3,91";"3,95";"3,19";"3,22";"3,40";"3,26";"3,06";"3,02";"2,74";"2,53";"2,49";"3,20";"3,16";"2,64";"2,74";"27,83";"31,74";"31,47";"32,20";"32,43";"33,71";"35,50";"37,11";"36,05";"36,09";"38,03";"40,15";"39,94";"37,86";"7,27";"6,25";"7,55";"7,52";"7,36";"7,74";"7,17";"6,85";"7,46";"7,73";"8,67";"8,95";"7,67";"8,02";"10,94";"9,16";"8,21";"8,27";"8,81";"8,76";"7,79";"8,31";"8,74";"8,72";"9,04";"9,90";"9,49";"9,00";"5,58";"10,44";"5,39";"6,00";"3,58";"4,47";"35,41";"32,83";"34,42";"33,59";"33,74";"34,03";"34,48";"38,18";"38,97";"39,86";"40,90";"40,00";"39,87";"41,59";"40,43";"49,21";"49,20";"50,50";"48,88";"47,53";"45,85";"45,61";"43,80";"43,81";"42,93";"38,97";"36,41";"33,98";"32,41"
"09574";"Nürnberger Land";"Kreise";"6,31";"5,82";"4,98";"4,73";"5,35";"6,28";"6,64";"6,68";"5,85";"4,73";"3,35";"3,62";"3,46";"2,89";"2,83";"3,10";"3,04";"2,82";"2,69";"2,53";"2,40";"2,30";"2,93";"2,69";"2,37";"2,54";"30,28";"34,16";"36,10";"36,09";"37,26";"38,84";"40,36";"38,72";"38,50";"39,19";"44,23";"46,49";"47,44";"48,06";"7,19";"6,53";"7,19";"7,72";"8,13";"8,45";"8,01";"8,50";"8,88";"9,12";"9,28";"9,21";"9,21";"8,13";"8,53";"8,75";"7,70";"7,76";"7,47";"7,25";"6,96";"7,86";"8,07";"7,64";"8,32";"8,90";"8,59";"8,75";"6,44";"6,57";"5,48";"6,24";"6,48";"6,82";"35,81";"32,78";"32,62";"32,84";"32,70";"32,98";"34,22";"37,99";"36,56";"36,97";"36,92";"37,96";"39,48";"39,41";"41,52";"49,26";"47,99";"48,01";"47,42";"46,23";"44,42";"43,38";"43,70";"43,58";"42,87";"36,86";"34,44";"32,88";"33,39"
