Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslosenquote;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Helfer;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Experte;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Arbeitslose mit Anforderungsniveau Spezialist;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Offene Stellen mit Anforderungsniveau Experte;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose ohne Ausbildung;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft;Arbeitslose mit Anforderungsniveau Fachkraft
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"5,78";"5,32";"4,47";"4,50";"5,28";"5,83";"5,87";"6,68";"5,59";"4,17";"3,04";"3,73";"3,39";"2,68";"2,37";"2,60";"2,51";"2,32";"2,31";"2,16";"1,86";"1,81";"2,57";"2,32";"2,11";"2,41";"40,04";"44,17";"46,68";"43,10";"42,58";"45,72";"45,89";"44,78";"45,66";"47,70";"49,26";"51,69";"50,57";"49,65";"3,89";"3,14";"4,14";"4,72";"4,56";"4,13";"4,43";"4,60";"4,80";"5,30";"5,88";"6,54";"5,92";"6,84";"6,58";"5,44";"5,31";"6,00";"6,37";"4,98";"5,20";"6,41";"6,41";"6,41";"6,89";"7,50";"8,27";"8,39";"4,71";"5,16";"3,91";"4,11";"4,37";"4,41";"38,70";"37,69";"38,42";"39,66";"38,31";"38,09";"40,34";"45,03";"43,30";"43,69";"44,68";"46,86";"46,99";"48,54";"50,07";"44,71";"43,68";"42,47";"43,96";"43,37";"42,37";"38,82";"40,67";"39,94";"37,98";"35,56";"32,43";"33,06";"30,82"
"09576";"Roth";"Kreise";"5,99";"5,59";"4,65";"4,61";"5,48";"6,38";"6,45";"6,66";"5,61";"4,26";"3,05";"3,54";"3,28";"2,75";"2,72";"3,10";"2,94";"2,79";"2,74";"2,37";"2,21";"2,04";"2,63";"2,43";"2,20";"2,23";"29,27";"30,65";"33,81";"34,33";"35,64";"35,87";"37,60";"39,12";"37,81";"35,66";"43,30";"46,09";"46,10";"47,06";"6,33";"5,65";"6,31";"6,76";"8,11";"7,51";"7,34";"7,11";"7,57";"7,96";"7,87";"8,04";"8,62";"6,43";"8,78";"8,91";"8,06";"8,32";"8,51";"9,42";"8,70";"8,60";"8,51";"8,81";"8,81";"9,27";"8,74";"8,70";"8,15";"8,91";"7,07";"7,14";"6,97";"5,70";"30,95";"29,47";"30,75";"33,04";"30,59";"30,53";"31,34";"35,16";"35,45";"35,39";"33,63";"35,12";"36,82";"41,10";"43,32";"52,21";"51,20";"50,46";"49,69";"47,00";"46,42";"45,21";"44,46";"45,28";"46,65";"39,19";"35,92";"34,92";"34,56"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"6,48";"5,97";"5,24";"5,54";"6,62";"7,44";"7,77";"8,52";"6,98";"5,62";"4,24";"5,07";"4,32";"3,52";"3,09";"3,30";"3,40";"3,26";"3,36";"3,09";"2,86";"2,89";"3,47";"3,42";"3,35";"3,60";"37,76";"39,70";"42,67";"42,67";"44,39";"43,93";"41,67";"42,61";"42,62";"43,18";"56,41";"58,56";"52,26";"52,19";"3,16";"3,66";"4,11";"3,90";"4,14";"4,58";"4,24";"4,14";"4,11";"4,47";"4,83";"5,11";"3,80";"4,34";"5,53";"5,54";"5,46";"5,73";"5,81";"5,65";"5,44";"4,45";"4,90";"5,05";"5,85";"6,42";"5,70";"4,44";"9,75";"9,66";"8,96";"6,33";"6,87";"5,55";"40,84";"39,12";"39,25";"39,33";"37,65";"38,07";"39,82";"43,45";"44,03";"43,96";"42,71";"42,57";"43,07";"50,42";"53,48";"47,18";"43,18";"44,02";"45,15";"43,36";"42,98";"44,53";"45,33";"45,98";"45,47";"31,13";"27,41";"24,62";"23,39"
"09661";"Aschaffenburg, Stadt";"Kreise";"9,12";"8,94";"7,46";"6,83";"8,16";"8,90";"9,26";"10,37";"9,17";"7,33";"5,85";"7,10";"6,62";"5,73";"5,67";"6,40";"5,87";"5,78";"5,76";"5,10";"4,91";"4,91";"6,01";"5,66";"5,42";"6,15";"43,73";"47,35";"49,03";"47,47";"46,26";"45,70";"47,85";"47,85";"49,58";"49,05";"51,67";"53,87";"56,74";"57,26";"3,55";"4,24";"4,11";"4,61";"5,60";"6,17";"5,25";"5,44";"6,05";"6,00";"6,11";"6,28";"5,05";"5,04";"4,89";"4,90";"5,10";"5,23";"5,83";"5,76";"5,25";"5,59";"5,56";"5,48";"6,19";"6,11";"5,68";"5,98";"8,71";"9,43";"10,00";"12,03";"11,45";"9,94";"54,61";"52,83";"53,34";"55,17";"53,24";"50,58";"51,82";"56,14";"55,49";"54,90";"55,98";"55,50";"57,44";"59,72";"59,46";"41,77";"39,54";"38,69";"40,25";"39,90";"39,62";"37,62";"39,26";"37,29";"37,31";"33,96";"31,02";"27,65";"26,56"
"09662";"Schweinfurt, Stadt";"Kreise";"14,11";"13,19";"11,55";"10,83";"11,12";"11,27";"10,98";"13,87";"10,77";"8,51";"8,05";"8,28";"7,44";"6,36";"6,37";"6,20";"6,21";"6,29";"6,42";"6,30";"5,64";"6,10";"6,98";"6,18";"6,22";"6,47";"23,90";"25,70";"26,78";"28,01";"29,27";"27,78";"28,69";"27,52";"33,93";"36,12";"38,31";"49,35";"54,29";"54,46";"2,73";"3,48";"3,49";"3,49";"2,90";"3,57";"3,35";"3,65";"4,15";"4,40";"4,78";"4,57";"3,45";"3,90";"2,99";"2,71";"2,91";"3,19";"3,19";"3,74";"3,30";"3,07";"2,73";"2,32";"3,17";"3,84";"3,56";"3,42";"12,01";"11,80";"10,00";"16,04";"22,39";"13,23";"37,31";"39,28";"42,55";"43,07";"44,86";"44,65";"44,27";"52,56";"57,30";"58,39";"56,91";"56,01";"58,50";"63,79";"65,40";"31,70";"36,01";"39,81";"40,31";"40,04";"39,82";"35,91";"33,95";"34,72";"37,01";"33,03";"28,91";"24,63";"25,57"
"09663";"Würzburg, Stadt";"Kreise";"8,74";"8,06";"6,69";"6,35";"6,93";"7,94";"8,30";"9,77";"8,41";"7,11";"5,70";"5,81";"5,57";"4,94";"4,83";"4,80";"4,51";"4,25";"4,17";"3,83";"3,62";"3,39";"4,11";"3,84";"3,49";"3,74";"36,43";"40,73";"42,63";"41,17";"40,93";"42,42";"43,11";"43,83";"43,41";"42,29";"46,17";"46,19";"43,26";"43,07";"11,07";"11,61";"11,80";"12,28";"14,12";"14,06";"12,71";"13,77";"13,36";"13,75";"14,60";"14,65";"14,65";"14,31";"5,87";"5,20";"4,66";"5,07";"5,35";"5,24";"5,18";"5,24";"5,12";"5,43";"6,28";"6,83";"6,07";"6,87";"8,07";"8,51";"9,10";"11,19";"10,43";"9,26";"44,98";"42,86";"44,33";"44,36";"42,15";"40,96";"41,78";"46,20";"45,44";"44,99";"44,70";"43,88";"43,65";"46,11";"45,39";"41,91";"39,03";"39,51";"39,77";"37,92";"36,31";"35,54";"34,54";"35,67";"35,51";"29,27";"27,35";"24,74";"24,90"
"09671";"Aschaffenburg";"Kreise";"6,30";"5,95";"5,04";"4,67";"5,32";"6,01";"5,97";"6,50";"5,54";"4,22";"3,02";"3,72";"3,53";"2,93";"2,89";"3,30";"3,22";"3,10";"3,29";"2,95";"2,67";"2,61";"3,36";"3,27";"3,18";"3,40";"33,18";"35,30";"34,69";"32,74";"31,71";"32,73";"37,43";"35,79";"36,34";"35,84";"39,88";"41,88";"46,42";"48,09";"5,57";"5,64";"5,71";"6,44";"7,10";"7,83";"7,07";"6,99";"7,63";"7,94";"7,85";"7,73";"8,01";"7,24";"7,20";"7,55";"7,63";"8,14";"8,79";"8,93";"7,72";"8,29";"8,19";"8,43";"8,41";"8,98";"7,91";"7,60";"8,62";"8,33";"5,16";"5,92";"7,13";"5,67";"38,39";"37,16";"38,00";"39,21";"36,48";"35,36";"36,03";"42,89";"41,50";"42,07";"41,73";"42,14";"44,90";"50,28";"48,14";"50,56";"47,96";"47,92";"48,13";"47,86";"45,75";"42,86";"46,15";"45,26";"45,29";"41,43";"38,49";"32,47";"31,27"
"09672";"Bad Kissingen";"Kreise";"8,74";"8,26";"7,36";"6,94";"7,61";"8,31";"8,54";"9,19";"7,98";"6,12";"4,65";"5,06";"4,83";"4,24";"4,11";"4,00";"3,85";"3,77";"3,83";"3,27";"2,87";"2,96";"3,50";"3,28";"3,05";"3,15";"42,37";"44,02";"42,18";"40,37";"39,53";"38,71";"41,36";"39,78";"41,31";"39,73";"50,17";"52,68";"51,85";"52,14";"3,18";"3,32";"4,38";"3,85";"4,55";"4,21";"4,86";"5,55";"5,08";"5,38";"6,04";"6,20";"5,42";"5,11";"4,60";"4,38";"3,94";"4,34";"3,95";"4,45";"4,59";"4,64";"4,78";"4,96";"5,41";"5,88";"4,79";"5,55";"8,75";"8,23";"8,29";"6,96";"6,33";"5,41";"38,51";"38,13";"39,25";"37,84";"34,79";"34,46";"34,45";"37,29";"36,28";"37,04";"35,90";"37,54";"36,82";"39,53";"38,41";"49,10";"46,19";"47,00";"47,45";"46,12";"46,14";"44,00";"45,12";"44,27";"45,47";"33,81";"30,99";"29,49";"28,63"
"09673";"Rhön-Grabfeld";"Kreise";"9,35";"9,02";"7,74";"7,31";"7,91";"8,36";"8,01";"9,29";"8,01";"5,75";"4,01";"4,64";"4,07";"3,28";"3,21";"3,20";"3,17";"3,09";"3,08";"2,62";"2,39";"2,48";"3,12";"2,80";"2,72";"2,81";"40,17";"40,12";"38,24";"36,00";"36,08";"36,05";"36,74";"37,65";"35,53";"33,53";"45,48";"51,92";"49,59";"48,98";"2,92";"3,78";"4,34";"4,53";"4,51";"4,43";"4,28";"4,34";"5,04";"4,89";"5,75";"5,87";"4,72";"4,84";"5,45";"5,39";"5,97";"5,80";"5,87";"5,89";"5,58";"5,62";"5,74";"4,93";"5,12";"6,03";"6,03";"5,55";"14,01";"14,02";"13,31";"7,04";"8,37";"7,18";"34,06";"33,36";"32,20";"30,42";"29,28";"29,92";"31,03";"34,20";"37,39";"34,46";"32,68";"33,08";"33,91";"39,01";"38,20";"50,23";"46,98";"47,33";"49,01";"46,17";"46,73";"46,09";"45,74";"46,29";"50,21";"37,42";"32,42";"28,50";"33,28"
"09674";"Haßberge";"Kreise";"7,41";"6,76";"6,11";"5,66";"6,35";"7,25";"7,36";"7,57";"6,85";"5,08";"3,85";"4,51";"4,19";"3,32";"3,39";"3,50";"3,46";"3,29";"3,17";"2,73";"2,40";"2,64";"3,28";"2,91";"2,71";"2,81";"37,94";"40,99";"38,18";"37,51";"37,83";"38,42";"35,96";"36,69";"37,17";"35,23";"49,61";"51,03";"50,97";"48,56";"2,62";"2,93";"3,83";"3,63";"4,12";"3,95";"4,16";"5,84";"4,73";"5,49";"5,14";"5,68";"5,96";"5,26";"4,15";"4,68";"5,41";"5,57";"5,36";"5,50";"4,61";"5,47";"5,90";"5,46";"4,90";"5,75";"5,96";"6,41";"5,59";"6,56";"2,59";"3,29";"4,37";"3,86";"34,99";"34,19";"35,15";"33,07";"31,95";"30,88";"32,24";"33,53";"33,14";"32,28";"32,87";"34,72";"35,27";"35,92";"35,52";"52,58";"49,91";"51,67";"51,88";"49,26";"48,30";"47,66";"47,63";"47,68";"49,03";"35,63";"31,78";"31,00";"33,57"
"09675";"Kitzingen";"Kreise";"5,91";"5,17";"4,57";"4,42";"4,65";"5,31";"5,46";"6,30";"5,56";"4,47";"3,52";"3,94";"4,10";"3,25";"3,02";"3,20";"3,18";"2,98";"2,78";"2,54";"2,18";"2,13";"2,70";"2,47";"2,33";"2,58";"37,90";"40,41";"42,00";"41,93";"42,54";"42,36";"39,11";"39,66";"38,81";"38,45";"48,57";"50,23";"55,48";"59,41";"3,94";"4,35";"4,80";"4,81";"5,69";"4,87";"5,39";"6,23";"6,21";"7,00";"8,01";"8,26";"5,85";"5,64";"5,99";"5,75";"5,08";"4,88";"5,25";"5,87";"6,39";"5,92";"5,42";"6,79";"6,62";"7,11";"5,52";"6,01";"7,41";"7,73";"3,64";"3,10";"4,89";"5,93";"39,20";"36,62";"37,64";"38,16";"36,86";"36,92";"38,36";"40,67";"39,82";"39,78";"39,18";"40,21";"41,67";"48,74";"49,20";"48,70";"46,61";"46,47";"46,55";"44,12";"42,70";"42,80";"43,89";"45,92";"44,43";"33,45";"31,88";"27,13";"24,24"
"09676";"Miltenberg";"Kreise";"7,30";"6,84";"5,87";"5,55";"6,40";"7,29";"7,26";"7,66";"6,89";"5,15";"3,72";"4,60";"4,03";"3,11";"2,97";"3,50";"3,31";"3,02";"3,10";"2,86";"2,67";"2,77";"3,51";"3,24";"3,11";"3,60";"40,71";"45,57";"45,23";"43,89";"41,08";"41,36";"44,63";"46,35";"44,77";"43,73";"46,72";"50,10";"52,43";"53,61";"3,61";"4,18";"4,61";"4,66";"5,44";"5,07";"5,11";"5,13";"5,09";"5,56";"5,52";"5,16";"5,51";"4,68";"6,30";"6,05";"5,88";"5,88";"6,53";"6,90";"6,04";"6,19";"6,36";"6,10";"6,56";"7,62";"7,13";"6,50";"8,36";"8,59";"9,48";"8,56";"7,02";"8,42";"44,09";"42,35";"43,84";"44,15";"42,75";"41,21";"42,55";"46,94";"47,22";"46,68";"46,50";"46,11";"48,15";"51,12";"50,89";"45,08";"42,16";"42,03";"43,26";"44,10";"42,64";"41,52";"41,03";"42,77";"43,42";"39,39";"34,87";"32,69";"31,92"
"09677";"Main-Spessart";"Kreise";"5,39";"4,87";"4,34";"4,24";"4,64";"5,54";"5,69";"6,23";"4,97";"3,50";"2,58";"3,44";"3,30";"2,55";"2,58";"2,80";"2,53";"2,31";"2,27";"1,97";"1,80";"1,75";"2,52";"2,20";"1,76";"2,13";"37,36";"40,03";"39,36";"38,78";"37,41";"37,94";"39,53";"37,06";"35,47";"34,63";"42,43";"44,87";"44,05";"45,82";"4,00";"4,26";"4,87";"5,41";"5,82";"6,61";"6,00";"6,14";"7,08";"7,20";"8,05";"8,36";"7,16";"7,13";"5,84";"5,71";"5,94";"5,96";"5,98";"7,02";"7,20";"7,59";"8,28";"8,05";"7,52";"9,10";"7,86";"7,52";"4,50";"5,48";"3,95";"5,12";"4,81";"4,23";"35,28";"33,20";"34,68";"33,21";"33,32";"32,24";"33,04";"36,11";"35,47";"34,26";"33,59";"35,50";"36,57";"38,21";"42,61";"48,58";"47,31";"49,14";"48,46";"48,46";"45,78";"42,77";"45,07";"45,11";"46,34";"38,38";"33,68";"32,45";"30,21"
"09678";"Schweinfurt";"Kreise";"7,49";"6,99";"5,97";"5,59";"5,96";"5,90";"5,35";"5,79";"5,42";"4,03";"3,04";"3,57";"3,34";"2,82";"2,63";"2,80";"2,97";"3,13";"3,09";"2,55";"2,28";"2,35";"2,77";"2,54";"2,63";"2,56";"36,28";"35,86";"33,39";"34,15";"32,43";"30,83";"32,61";"31,68";"32,76";"32,24";"40,51";"41,87";"39,13";"40,39";"5,13";"5,34";"5,45";"5,30";"6,05";"6,15";"5,58";"5,37";"5,59";"6,04";"6,40";"6,60";"5,34";"4,30";"5,84";"6,18";"5,51";"5,58";"6,00";"6,00";"5,19";"5,97";"6,40";"6,06";"6,62";"8,07";"7,34";"7,90";"5,36";"8,12";"4,82";"5,56";"8,73";"7,76";"32,28";"31,36";"30,32";"28,96";"28,85";"28,73";"28,81";"34,09";"32,28";"32,19";"32,28";"32,01";"32,63";"35,40";"33,08";"48,82";"47,72";"51,29";"50,50";"49,17";"50,00";"46,69";"50,06";"49,26";"49,07";"40,83";"37,04";"31,04";"32,25"
"09679";"Würzburg";"Kreise";"5,52";"5,01";"4,25";"4,15";"4,51";"5,21";"5,39";"5,64";"4,67";"3,49";"2,83";"3,19";"3,22";"2,87";"2,72";"2,80";"2,65";"2,34";"2,27";"2,10";"1,89";"1,86";"2,35";"2,23";"2,01";"2,41";"16,66";"20,23";"21,78";"23,13";"23,38";"23,74";"23,71";"23,86";"22,90";"25,05";"35,33";"37,01";"37,32";"31,91";"7,84";"8,49";"8,33";"8,85";"10,00";"11,26";"11,37";"12,22";"11,81";"12,04";"12,05";"12,46";"11,27";"10,22";"6,52";"6,99";"6,89";"7,18";"8,11";"7,72";"7,23";"7,76";"8,00";"7,77";"8,21";"9,07";"8,88";"8,42";"8,50";"10,58";"8,37";"9,70";"9,36";"10,35";"11,25";"10,88";"12,73";"14,19";"19,40";"22,50";"22,00";"33,40";"34,21";"34,05";"33,59";"33,80";"32,95";"36,26";"44,16";"47,44";"48,25";"47,85";"50,16";"49,60";"48,89";"46,36";"46,22";"48,57";"47,28";"38,09";"35,39";"30,68";"27,68"
"093";"Oberpfalz";"Regierungsbezirke";"7,74";"7,20";"6,36";"6,27";"6,77";"7,69";"7,63";"8,67";"7,49";"5,72";"4,41";"5,14";"4,48";"3,62";"3,48";"3,70";"3,53";"3,35";"3,21";"2,87";"2,62";"2,68";"3,33";"3,13";"2,91";"3,22";"37,64";"39,76";"40,77";"40,01";"40,07";"41,41";"41,50";"41,14";"41,07";"41,23";"47,48";"50,49";"50,37";"51,41";"4,14";"4,37";"4,34";"4,85";"5,10";"5,25";"5,25";"5,68";"6,12";"5,95";"6,15";"6,09";"5,78";"6,03";"4,71";"4,63";"4,56";"4,77";"4,78";"4,69";"4,89";"5,07";"5,25";"5,39";"5,83";"6,17";"5,79";"5,81";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40,41";"39,13";"39,25";"39,57";"38,39";"38,27";"38,74";"41,38";"41,13";"40,84";"40,39";"39,95";"41,52";"45,60";"46,00";"47,30";"45,81";"46,14";"46,13";"45,28";"43,71";"43,31";"44,01";"44,16";"43,86";"36,99";"33,98";"29,94";"28,64"
"094";"Oberfranken";"Regierungsbezirke";"8,72";"8,19";"7,37";"7,48";"8,59";"9,43";"9,49";"10,12";"9,00";"7,13";"5,39";"5,73";"5,24";"4,42";"4,24";"4,37";"4,32";"4,07";"3,84";"3,55";"3,25";"3,21";"3,91";"3,63";"3,41";"3,74";"38,68";"42,30";"43,86";"42,37";"41,69";"42,24";"42,14";"42,32";"42,39";"41,64";"48,59";"50,95";"52,09";"53,72";"3,99";"4,27";"4,68";"5,15";"5,38";"5,75";"5,71";"5,72";"5,95";"6,27";"6,47";"6,75";"6,32";"6,28";"4,92";"4,75";"4,86";"5,15";"5,44";"5,59";"5,33";"5,22";"5,12";"5,49";"6,16";"6,61";"6,31";"6,21";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40,99";"39,28";"39,90";"39,64";"38,37";"38,01";"38,71";"41,27";"42,80";"43,30";"42,71";"42,05";"42,49";"44,44";"45,58";"47,07";"45,33";"45,47";"46,15";"45,99";"44,65";"44,22";"43,79";"43,79";"44,42";"37,00";"34,14";"30,80";"30,07"
"095";"Mittelfranken";"Regierungsbezirke";"8,47";"7,80";"6,65";"6,37";"7,24";"8,17";"8,44";"9,14";"8,01";"6,50";"5,03";"5,60";"5,34";"4,70";"4,59";"4,80";"4,73";"4,49";"4,27";"3,87";"3,54";"3,42";"4,22";"4,04";"3,65";"3,93";"37,15";"41,50";"43,98";"43,33";"44,18";"45,40";"45,80";"45,31";"45,10";"45,11";"47,27";"49,81";"49,33";"48,34";"5,79";"5,52";"5,86";"6,36";"6,57";"6,63";"6,57";"6,93";"7,30";"7,40";"7,75";"7,65";"7,12";"7,51";"6,26";"5,91";"5,61";"5,79";"5,73";"5,53";"5,43";"5,73";"5,89";"5,89";"6,44";"6,58";"6,30";"6,75";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"48,76";"47,30";"48,78";"48,71";"47,35";"47,78";"48,37";"50,98";"50,51";"50,35";"49,74";"48,70";"49,87";"52,47";"51,87";"42,50";"40,73";"41,03";"41,04";"40,04";"38,61";"37,87";"38,22";"37,94";"37,55";"34,27";"31,57";"29,75";"29,68"
"096";"Unterfranken";"Regierungsbezirke";"7,44";"6,92";"5,97";"5,64";"6,21";"6,88";"6,92";"7,65";"6,59";"5,04";"3,88";"4,47";"4,21";"3,52";"3,44";"3,63";"3,50";"3,34";"3,34";"2,99";"2,72";"2,74";"3,41";"3,16";"2,98";"3,25";"35,40";"37,90";"37,87";"37,23";"36,50";"36,59";"37,99";"37,68";"38,22";"37,73";"44,36";"47,11";"48,20";"48,37";"5,07";"5,60";"5,92";"6,11";"6,86";"7,03";"6,68";"7,17";"7,30";"7,51";"7,88";"8,00";"7,28";"6,89";"5,60";"5,56";"5,47";"5,71";"6,04";"6,21";"5,77";"6,04";"6,11";"6,04";"6,41";"7,18";"6,50";"6,59";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"37,52";"36,19";"37,17";"37,25";"36,67";"36,05";"36,77";"41,87";"42,04";"41,93";"41,59";"41,72";"42,83";"46,47";"46,96";"46,33";"44,57";"45,32";"45,92";"45,00";"44,05";"42,07";"42,73";"42,92";"43,46";"36,25";"32,97";"29,41";"29,01"
